a_id,balance
HAvWs36cQCkaU3ESmFMEmGxJ5Z4LNTSpS7,2.469060476e+09
HAvkrzAh7vakmQyP2oYnEyGihA7z2q9KbL,120271470
H7z6wBDaRZVYR7hEpDuNNh17Ty4mJR1nF9,0
HFNMeTAakMgw7iMabTa8WtD75Bk9rSm7qW,496000000
HDtaqHPpnRvsJJqHcW8r91gUCwDFyDhQia,9.299983329e+09
H8WqCSCPUHvNqNNMPt9YLYkLGsf69rGUoN,8.828750439916e+12
HCmxjsEYVSuTEUXQ63aLfgqYDuhVyH5N6i,0
HFhk2o49g3NdUs16Yqj1PMAja1GQgx3Vnt,0
HAXmBXpu1nCb9s276VEGrB8JcGvFK2XPYF,0
HAxhrNJzHbGtzcbDjiuvhUq2QR8W7ZjQEj,1768727371
HAyYFSDzAHaaEmoQSsKuwvTkTT88oV7RS3,0
HB1Q8tpXB3s5cSosSwemQmxfTSrcTQfshY,4.2819736385e+10
HB24D9hpxPwoniPH6kYi8iLBEoctJxT8DV,2.7391211334e+10
HB4z6osGSvXKMMVtCrhFFVDS9uNwMQ7jyh,0
HA1Zun2RvaKp2QawNkrXP7SeXtfr28vDyY,0
HB5Qf75JfSxu8myc1iwBnG8Xq3DFhjoaTj,0
HB6Ght8pXWuWvnXToi26q51wLrg26PtGB4,0
HB81B6YF4mgLL6R6NMQqCUvjnB2xCEhYcU,4.747674773e+09
HB8C5gc77g9v5nKHaxgfgtXxke9KRD84nQ,1285331572
HB8DkuvzqQozD8wdER4rofdpvbmuGMjCxm,2.865065223e+09
HB8feuSR9DMab6MYubNUdoZpb4KJJHCDf1,1.9829707822e+10
HB9aAZFaA3DHdextMyVb1DVCcgJWmJNqah,0
HBAPtkL8Pz9DUKJFwf1FLhTLSdAmbHvu5e,3e+09
HBAgiwASqmgap8ARZu8CT9P4Q9NFDeoTzJ,9.264230522e+09
